Date;Close(SAND.ST)
2018-09-06 13:00;153.2
2018-09-06 12:30;153.15
2018-09-06 12:00;152.55
2018-09-06 11:30;152.7
2018-09-06 11:00;152.25
2018-09-06 10:30;151.9
2018-09-06 10:00;152.3
2018-09-06 09:30;153.1
2018-09-05 17:30;154.3
2018-09-05 17:00;155
2018-09-05 16:30;155.55
2018-09-05 16:00;154.9
2018-09-05 15:30;155.85
2018-09-05 15:00;155.9
2018-09-05 14:30;156
2018-09-05 14:00;156.45
2018-09-05 13:30;156.65
2018-09-05 13:00;156.55
2018-09-05 12:30;156.3
2018-09-05 12:00;156.2
2018-09-05 11:30;156.5
2018-09-05 11:00;156.75
2018-09-05 10:30;156.45
2018-09-05 10:00;156.4
2018-09-05 09:30;157.1
2018-09-04 17:30;157.45
2018-09-04 17:00;157.85
2018-09-04 16:30;157.9
2018-09-04 16:00;157.2
2018-09-04 15:30;157.55
2018-09-04 15:00;157.5
2018-09-04 14:30;157.1
2018-09-04 14:00;157
2018-09-04 13:30;157.15
2018-09-04 13:00;157.45
2018-09-04 12:30;157.65
2018-09-04 12:00;158
2018-09-04 11:30;158.15
2018-09-04 11:00;158.65
2018-09-04 10:30;158.85
2018-09-04 10:00;159.3
2018-09-04 09:30;159.5
2018-09-03 17:30;159.95
2018-09-03 17:00;160.25
2018-09-03 16:30;160.4
2018-09-03 16:00;160.2
2018-09-03 15:30;160.1
2018-09-03 15:00;160.15
2018-09-03 14:30;160.5
2018-09-03 14:00;160.7
2018-09-03 13:30;160.55
2018-09-03 13:00;160.85
2018-09-03 12:30;160.65
2018-09-03 12:00;160.7
2018-09-03 11:30;160.5
2018-09-03 11:00;160.5
2018-09-03 10:30;160.95
2018-09-03 10:00;160.75
2018-09-03 09:30;160
2018-08-31 17:30;160.05
2018-08-31 17:00;160.5
2018-08-31 16:30;160.2
2018-08-31 16:00;160.2
2018-08-31 15:30;160.1
2018-08-31 15:00;160
2018-08-31 14:30;160.65
2018-08-31 14:00;160.5
2018-08-31 13:30;160.5
2018-08-31 13:00;160.7
2018-08-31 12:30;160.35
2018-08-31 12:00;160.25
2018-08-31 11:30;160.55
2018-08-31 11:00;160.45
2018-08-31 10:30;161.8
2018-08-31 10:00;162.45
2018-08-31 09:30;164
2018-08-30 17:30;165.05
2018-08-30 17:00;165.2
2018-08-30 16:30;165.35
2018-08-30 16:00;165.05
2018-08-30 15:30;165.45
2018-08-30 15:00;165.35
2018-08-30 14:30;165.35
2018-08-30 14:00;165.2
2018-08-30 13:30;165.4
2018-08-30 13:00;165.45
2018-08-30 12:30;164.7
2018-08-30 12:00;164.15
2018-08-30 11:30;164.05
2018-08-30 11:00;164.7
2018-08-30 10:30;164.9
2018-08-30 10:00;164.95
2018-08-30 09:30;164.25
2018-08-29 17:30;161.7
2018-08-29 17:00;161.95
2018-08-29 16:30;161.75
2018-08-29 16:00;161.7
2018-08-29 15:30;161.7
2018-08-29 15:00;161.85
2018-08-29 14:30;161.5
2018-08-29 14:00;161.15
2018-08-29 13:30;160.9
2018-08-29 13:00;160.4
2018-08-29 12:30;160.25
2018-08-29 12:00;160.05
2018-08-29 11:30;159.95
2018-08-29 11:00;159.85
2018-08-29 10:30;160.2
2018-08-29 10:00;160.2
2018-08-29 09:30;161.45
2018-08-28 17:30;161.5
2018-08-28 17:00;161.4
2018-08-28 16:30;161.4
2018-08-28 16:00;161.15
2018-08-28 15:30;161.4
2018-08-28 15:00;161
2018-08-28 14:30;161.05
2018-08-28 14:00;160.9
2018-08-28 13:30;160.8
2018-08-28 13:00;161
2018-08-28 12:30;160.9
2018-08-28 12:00;161.35
2018-08-28 11:30;161.5
2018-08-28 11:00;161.35
2018-08-28 10:30;161.15
2018-08-28 10:00;161.75
2018-08-28 09:30;161.15
2018-08-27 17:30;160.75
2018-08-27 17:00;160.15
2018-08-27 16:30;159.55
2018-08-27 16:00;158.65
2018-08-27 15:30;158
2018-08-27 15:00;157.7
2018-08-27 14:30;157.55
2018-08-27 14:00;157.4
2018-08-27 13:30;157.3
2018-08-27 13:00;157.55
2018-08-27 12:30;157.7
2018-08-27 12:00;157.6
2018-08-27 11:30;157.65
2018-08-27 11:00;157.5
2018-08-27 10:30;157.45
2018-08-27 10:00;157.35
2018-08-27 09:30;157.35
2018-08-24 17:30;156.3
2018-08-24 17:00;156.15
2018-08-24 16:30;155.7
2018-08-24 16:00;154.95
2018-08-24 15:30;154.85
2018-08-24 15:00;155.05
2018-08-24 14:30;155.4
2018-08-24 14:00;155.75
2018-08-24 13:30;155.7
2018-08-24 13:00;155.3
2018-08-24 12:30;155.5
2018-08-24 12:00;155.75
2018-08-24 11:30;155.6
2018-08-24 11:00;156.05
2018-08-24 10:30;155.95
2018-08-24 10:00;156
2018-08-24 09:30;156
2018-08-23 17:30;155.85
2018-08-23 17:00;156.3
2018-08-23 16:30;156.45
2018-08-23 16:00;156.35
2018-08-23 15:30;156.1
2018-08-23 15:00;157.05
2018-08-23 14:30;157.45
2018-08-23 14:00;157.75
2018-08-23 13:30;158.35
2018-08-23 13:00;158.35
2018-08-23 12:30;158.3
2018-08-23 12:00;158.5
2018-08-23 11:30;158.55
2018-08-23 11:00;158.6
2018-08-23 10:30;158.55
2018-08-23 10:00;158.3
2018-08-23 09:30;157.45
2018-08-22 17:30;159.45
2018-08-22 17:00;158.95
2018-08-22 16:30;159
2018-08-22 16:00;159.15
2018-08-22 15:30;159.25
2018-08-22 15:00;159.3
2018-08-22 14:30;159
2018-08-22 14:00;159.5
2018-08-22 13:30;159.65
2018-08-22 13:00;159.9
2018-08-22 12:30;159.85
2018-08-22 12:00;159.3
2018-08-22 11:30;159.85
2018-08-22 11:00;159.95
2018-08-22 10:30;159.85
2018-08-22 10:00;159.9
2018-08-22 09:30;159.8
2018-08-21 17:30;160
2018-08-21 17:00;159.9
2018-08-21 16:30;160.2
2018-08-21 16:00;159.75
2018-08-21 15:30;160
2018-08-21 15:00;159.8
2018-08-21 14:30;159.8
2018-08-21 14:00;159.75
2018-08-21 13:30;159.75
2018-08-21 13:00;159.5
2018-08-21 12:30;159.65
2018-08-21 12:00;159.45
2018-08-21 11:30;159.65
2018-08-21 11:00;159.15
2018-08-21 10:30;158.8
2018-08-21 10:00;159.25
2018-08-21 09:30;158.95
2018-08-20 17:30;157.9
2018-08-20 17:00;158.2
2018-08-20 16:30;158.15
2018-08-20 16:00;158.1
2018-08-20 15:30;157.95
2018-08-20 15:00;158.05
2018-08-20 14:30;158.45
2018-08-20 14:00;158.15
2018-08-20 13:30;158.3
2018-08-20 13:00;158
2018-08-20 12:30;157.85
2018-08-20 12:00;157.85
2018-08-20 11:30;157.55
2018-08-20 11:00;157.35
2018-08-20 10:30;156.95
2018-08-20 10:00;156.65
2018-08-20 09:30;156.5
2018-08-17 17:30;156.4
2018-08-17 17:00;155.9
2018-08-17 16:30;155
2018-08-17 16:00;155.75
2018-08-17 15:30;155
2018-08-17 15:00;155.1
2018-08-17 14:30;154.7
2018-08-17 14:00;155.15
2018-08-17 13:30;155.05
2018-08-17 13:00;155.35
2018-08-17 12:30;155.15
2018-08-17 12:00;155.2
2018-08-17 11:30;155.6
2018-08-17 11:00;155.95
2018-08-17 10:30;155.5
2018-08-17 10:00;154.85
2018-08-17 09:30;153.85
2018-08-16 17:30;153.5
2018-08-16 17:00;153.45
2018-08-16 16:30;153.5
2018-08-16 16:00;153.4
2018-08-16 15:30;153.35
2018-08-16 15:00;154.05
2018-08-16 14:30;154.2
2018-08-16 14:00;154.05
2018-08-16 13:30;154.7
2018-08-16 13:00;155.2
2018-08-16 12:30;155.1
2018-08-16 12:00;154.9
2018-08-16 11:30;155.15
2018-08-16 11:00;155.55
2018-08-16 10:30;155.3
2018-08-16 10:00;154.05
2018-08-16 09:30;153.85
2018-08-15 17:30;152.4
2018-08-15 17:00;152.25
2018-08-15 16:30;152.8
