sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2015-01-09;13,082;13,156;13,452;13,526;13,082;13,156;13,257;114147,6313927932;1513213,6;246;
2015-01-08;13,526;13,674;13,378;13,821;13,008;13,526;13,364;196451,68877102187;2625395,4;350;
2015-01-07;13,304;13,526;14,043;14,043;13,23;13,304;13,48;261131,91902851133;3520081,5;441;
2015-01-05;14,043;14,265;14,413;14,782;13,969;14,265;14,166;159757,70632502405;2263113,7;224;
2015-01-02;14,265;14,413;14,043;14,634;14,043;14,339;14,431;237996,079648453;3434564,2;307;
2014-12-30;13,821;13,895;14,561;14,561;13,674;13,895;13,952;340209,1356511003;4746765,5;392;
2014-12-29;14,265;14,413;15,078;15,078;13,60;14,413;14,04;582005,7166339734;8171453,6;686;
2014-12-23;14,708;14,93;14,708;15,004;14,634;14,93;14,805;335020,48395387665;4959706,1;406;
2014-12-22;14,487;14,634;14,043;15,374;14,043;14,487;14,648;712951,8615789774;10457667;854;
2014-12-19;13,895;14,043;13,008;14,191;12,787;13,895;13,511;674934,6714772078;9118737,5;755;
2014-12-18;12,491;12,565;12,269;12,934;12,048;12,565;12,454;1058457,8867723541;13182383;1090;
2014-12-17;12,121;12,343;11,90;12,491;11,53;12,269;12,053;386656,700909428;4660285,8;858;
2014-12-16;11,826;11,90;11,974;12,048;11,456;11,90;11,775;470853,5676030193;5544307,4;523;
2014-12-15;11,826;12,048;12,565;12,713;11,826;11,826;12,295;480770,8601559917;5911163,2;482;
2014-12-12;12,639;12,787;13,23;13,23;12,343;12,713;12,678;211855,28709511337;2685894,9;233;
2014-12-11;13,008;13,23;14,413;14,413;12,491;13,23;13,271;231788,6392346689;3076173,6;355;
2014-12-10;13,674;13,821;13,526;14,487;13,304;13,821;13,961;128034,54691308086;1787509,7;204;
2014-12-09;13,748;13,821;14,487;14,487;13,378;13,748;13,797;213785,97965624454;2949641,5;421;
2014-12-08;14,413;14,487;15,374;15,374;14,117;14,487;14,619;179140,39842787295;2618932,4;329;
